ckpt,ckpt_path,started_at,finished_at,total_wall_seconds,talent_avg_acc,talent_wall_seconds,talent_discovered_pairs,talent_processed_pairs,talent_failed_count,talent_missing_test_count
step-40450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40450.ckpt,2026-02-07 17:09:17,2026-02-07 17:09:59,39.145000,(none),39.145,175,175,175,0
step-40500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40500.ckpt,2026-02-07 17:10:00,2026-02-07 17:10:32,28.543000,(none),28.543,175,175,175,0
step-40550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40550.ckpt,2026-02-07 17:10:32,2026-02-07 17:11:16,39.760000,(none),39.760,175,175,175,0
step-40600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40600.ckpt,2026-02-07 17:11:16,2026-02-07 17:11:49,29.531000,(none),29.531,175,175,175,0
step-40650.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40650.ckpt,2026-02-07 17:11:49,2026-02-07 17:12:29,38.572000,(none),38.572,175,175,175,0
step-40700.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40700.ckpt,2026-02-07 17:12:29,2026-02-07 17:13:05,32.926000,(none),32.926,175,175,175,0
step-40750.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40750.ckpt,2026-02-07 17:13:05,2026-02-07 17:13:41,34.966000,(none),34.966,175,175,175,0
step-40800.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40800.ckpt,2026-02-07 17:13:41,2026-02-07 17:14:20,35.650000,(none),35.650,175,175,175,0
step-40850.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40850.ckpt,2026-02-07 17:14:20,2026-02-07 17:14:53,31.402000,(none),31.402,175,175,175,0
step-40900.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40900.ckpt,2026-02-07 17:14:53,2026-02-07 17:15:34,37.676000,(none),37.676,175,175,175,0
step-40950.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40950.ckpt,2026-02-07 17:15:34,2026-02-07 17:16:02,27.343000,(none),27.343,175,175,175,0
step-41000.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41000.ckpt,2026-02-07 17:16:03,2026-02-07 17:16:45,39.276000,(none),39.276,175,175,175,0
step-41050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41050.ckpt,2026-02-07 17:16:45,2026-02-07 17:17:16,27.303000,(none),27.303,175,175,175,0
step-41100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41100.ckpt,2026-02-07 17:17:17,2026-02-07 17:18:00,39.771000,(none),39.771,175,175,175,0
step-41150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41150.ckpt,2026-02-07 17:18:00,2026-02-07 17:18:32,27.232000,(none),27.232,175,175,175,0
step-41200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41200.ckpt,2026-02-07 17:18:32,2026-02-07 17:19:16,39.770000,(none),39.770,175,175,175,0
step-41250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41250.ckpt,2026-02-07 17:19:16,2026-02-07 17:19:48,28.660000,(none),28.660,175,175,175,0
step-41300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41300.ckpt,2026-02-07 17:19:48,2026-02-07 17:20:32,40.457000,(none),40.457,175,175,175,0
step-41350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41350.ckpt,2026-02-07 17:20:33,2026-02-07 17:21:04,27.790000,(none),27.790,175,175,175,0
step-41400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41400.ckpt,2026-02-07 17:21:04,2026-02-07 17:21:49,40.719000,(none),40.719,175,175,175,0
step-41450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41450.ckpt,2026-02-07 17:21:49,2026-02-07 17:22:21,27.818000,(none),27.818,175,175,175,0
step-41500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41500.ckpt,2026-02-07 17:22:21,2026-02-07 17:23:06,40.929000,(none),40.929,175,175,175,0
step-41550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41550.ckpt,2026-02-07 17:23:06,2026-02-07 17:23:37,27.771000,(none),27.771,175,175,175,0
step-41600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41600.ckpt,2026-02-07 17:23:37,2026-02-07 17:24:20,38.634000,(none),38.634,175,175,175,0
step-41650.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41650.ckpt,2026-02-07 17:24:20,2026-02-07 17:24:52,27.854000,(none),27.854,175,175,175,0
step-41700.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41700.ckpt,2026-02-07 17:24:52,2026-02-07 17:25:36,39.907000,(none),39.907,175,175,175,0
step-41750.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-41750.ckpt,2026-02-07 17:25:36,2026-02-07 17:26:08,28.109000,(none),28.109,175,175,175,0
